tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1010,2013-09-01 00:00:02,2013-09-01 00:16:52,254,W 11 St & 6 Ave,40.73532427,-73.99800419,147,Greenwich St & Warren St,40.71542197,-74.01121978,15014,Subscriber,1974,1
1443,2013-09-01 00:00:09,2013-09-01 00:24:12,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,497,E 17 St & Broadway,40.73704984,-73.99009296,19393,Customer,\N,0
1387,2013-09-01 00:00:16,2013-09-01 00:23:23,352,W 56 St & 6 Ave,40.76340613,-73.97722479,405,Washington St & Gansevoort St,40.739323,-74.008119,16160,Subscriber,1992,1
405,2013-09-01 00:00:18,2013-09-01 00:07:03,490,8 Ave & W 33 St,40.751551,-73.993934,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,14997,Subscriber,1973,1
270,2013-09-01 00:00:20,2013-09-01 00:04:50,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,393,E 5 St & Avenue C,40.72299208,-73.97995466,19609,Subscriber,1984,1
400,2013-09-01 00:00:35,2013-09-01 00:07:15,490,8 Ave & W 33 St,40.751551,-73.993934,453,W 22 St & 8 Ave,40.74475148,-73.99915362,17523,Subscriber,1978,1
115,2013-09-01 00:00:47,2013-09-01 00:02:42,351,Front St & Maiden Ln,40.70530954,-74.00612572,351,Front St & Maiden Ln,40.70530954,-74.00612572,19533,Customer,\N,0
1080,2013-09-01 00:00:48,2013-09-01 00:18:48,2000,Front St & Washington St,40.70255088,-73.98940236,418,Front St & Gold St,40.70224,-73.982578,18487,Subscriber,1972,2
2550,2013-09-01 00:00:49,2013-09-01 00:43:19,533,Broadway & W 39 St,40.75299641,-73.98721619,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,19342,Subscriber,1949,1
1108,2013-09-01 00:00:49,2013-09-01 00:19:17,301,E 2 St & Avenue B,40.72217444,-73.98368779,306,Cliff St & Fulton St,40.70823502,-74.00530063,15177,Subscriber,1978,1
413,2013-09-01 00:01:01,2013-09-01 00:07:54,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,15809,Subscriber,1987,1
1099,2013-09-01 00:01:06,2013-09-01 00:19:25,249,Harrison St & Hudson St,40.71870987,-74.0090009,489,10 Ave & W 28 St,40.75066386,-74.00176802,14588,Subscriber,1979,1
1626,2013-09-01 00:01:11,2013-09-01 00:28:17,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,401,Allen St & Rivington St,40.72019576,-73.98997825,19490,Subscriber,1968,1
1562,2013-09-01 00:01:12,2013-09-01 00:27:14,415,Pearl St & Hanover Square,40.7047177,-74.00926027,501,FDR Drive & E 35 St,40.744219,-73.97121214,14886,Subscriber,1992,1
954,2013-09-01 00:01:14,2013-09-01 00:17:08,466,W 25 St & 6 Ave,40.74395411,-73.99144871,339,Avenue D & E 12 St,40.72580614,-73.97422494,18040,Subscriber,1977,1
255,2013-09-01 00:01:15,2013-09-01 00:05:30,494,W 26 St & 8 Ave,40.74734825,-73.99723551,509,9 Ave & W 22 St,40.7454973,-74.00197139,15025,Subscriber,1982,2
796,2013-09-01 00:01:22,2013-09-01 00:14:38,494,W 26 St & 8 Ave,40.74734825,-73.99723551,127,Barrow St & Hudson St,40.73172428,-74.00674436,16567,Subscriber,1968,2
163,2013-09-01 00:01:29,2013-09-01 00:04:12,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,365,Fulton St & Grand Ave,40.68223166,-73.9614583,15106,Subscriber,1982,1
1233,2013-09-01 00:01:32,2013-09-01 00:22:05,457,Broadway & W 58 St,40.76695317,-73.98169333,254,W 11 St & 6 Ave,40.73532427,-73.99800419,17024,Subscriber,1976,1
1313,2013-09-01 00:01:33,2013-09-01 00:23:26,290,2 Ave & E 58 St,40.76020258,-73.96478473,473,Rivington St & Chrystie St,40.72110063,-73.99192540000001,20337,Customer,\N,0
1229,2013-09-01 00:01:38,2013-09-01 00:22:07,306,Cliff St & Fulton St,40.70823502,-74.00530063,312,Allen St & E Houston St,40.722055,-73.989111,19114,Customer,\N,0
1102,2013-09-01 00:01:52,2013-09-01 00:20:14,505,6 Ave & W 33 St,40.74901271,-73.98848395,499,Broadway & W 60 St,40.76915505,-73.98191841,20090,Customer,\N,0
1764,2013-09-01 00:01:55,2013-09-01 00:31:19,351,Front St & Maiden Ln,40.70530954,-74.00612572,417,Barclay St & Church St,40.71291224,-74.01020234,15387,Customer,\N,0
784,2013-09-01 00:02:09,2013-09-01 00:15:13,334,W 20 St & 7 Ave,40.74238787,-73.99726235,439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,19376,Subscriber,1960,1
403,2013-09-01 00:02:31,2013-09-01 00:09:14,382,University Pl & E 14 St,40.73492695,-73.99200509,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,17649,Subscriber,1992,2
2095,2013-09-01 00:02:49,2013-09-01 00:37:44,496,E 16 St & 5 Ave,40.73726186,-73.99238967,469,Broadway & W 53 St,40.76344058,-73.98268129,16836,Customer,\N,0
1875,2013-09-01 00:02:50,2013-09-01 00:34:05,297,E 15 St & 3 Ave,40.734232,-73.986923,312,Allen St & E Houston St,40.722055,-73.989111,19565,Customer,\N,0
683,2013-09-01 00:02:51,2013-09-01 00:14:14,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,507,E 25 St & 2 Ave,40.73912601,-73.97973776,17366,Subscriber,1979,1
772,2013-09-01 00:02:53,2013-09-01 00:15:45,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,19098,Subscriber,1982,2
1259,2013-09-01 00:03:00,2013-09-01 00:23:59,224,Spruce St & Nassau St,40.71146364,-74.00552427,401,Allen St & Rivington St,40.72019576,-73.98997825,16785,Subscriber,1988,1
1262,2013-09-01 00:03:03,2013-09-01 00:24:05,224,Spruce St & Nassau St,40.71146364,-74.00552427,401,Allen St & Rivington St,40.72019576,-73.98997825,18261,Subscriber,1990,2
760,2013-09-01 00:03:10,2013-09-01 00:15:50,428,E 3 St & 1 Ave,40.72467721,-73.98783413,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,18266,Subscriber,1980,1
534,2013-09-01 00:03:16,2013-09-01 00:12:10,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,16976,Subscriber,1984,2
1551,2013-09-01 00:03:42,2013-09-01 00:29:33,297,E 15 St & 3 Ave,40.734232,-73.986923,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,15653,Subscriber,1959,1
828,2013-09-01 00:03:45,2013-09-01 00:17:33,385,E 55 St & 2 Ave,40.75797322,-73.96603308,507,E 25 St & 2 Ave,40.73912601,-73.97973776,19123,Subscriber,1969,1
