Date,Open,High,Low,Close,Volume,Adj Close
2014-09-19,4113.02,4118.91,4084.45,4100.09,3178490000,4100.09
2014-09-18,4084.51,4103.42,4080.82,4103.08,1774840000,4103.08
2014-09-17,4066.76,4090.95,4048.58,4073.57,1796710000,4073.57
2014-09-16,4012.53,4073.14,4009.98,4067.27,1879350000,4067.27
2014-09-15,4070.20,4070.82,4018.30,4029.89,1940520000,4029.89
2014-09-12,4087.17,4089.62,4057.53,4069.23,1784180000,4069.23
2014-09-11,4077.69,4092.79,4060.92,4092.65,1704850000,4092.65
2014-09-10,4063.85,4095.91,4054.61,4094.97,1808650000,4094.97
2014-09-09,4094.02,4110.86,4053.11,4061.88,1956550000,4061.88
2014-09-08,4086.52,4105.50,4076.63,4095.47,1670210000,4095.47
2014-09-05,4067.37,4089.98,4051.75,4089.92,1641830000,4089.92
2014-09-04,4078.82,4100.78,4056.53,4066.13,1728700000,4066.13
2014-09-03,4103.97,4104.43,4063.49,4070.96,1897450000,4070.96
2014-09-02,4093.12,4095.87,4078.19,4095.81,1859080000,4095.81
2014-08-29,4081.02,4082.97,4062.18,4082.56,1352830000,4082.56
2014-08-28,4059.37,4072.29,4054.61,4066.27,1309580000,4066.27
2014-08-27,4073.40,4078.19,4064.07,4073.18,1389470000,4073.18
2014-08-26,4073.05,4076.54,4062.73,4071.67,1469620000,4071.67
2014-08-25,4073.48,4079.52,4058.60,4067.48,1384620000,4067.48
2014-08-22,4052.14,4060.90,4040.22,4052.75,1311810000,4052.75
2014-08-21,4041.00,4048.95,4035.75,4047.03,1421730000,4047.03
2014-08-20,4032.91,4046.97,4032.20,4040.71,1502030000,4040.71
2014-08-19,4025.51,4041.50,4024.17,4040.13,1556560000,4040.13
2014-08-18,4007.19,4022.48,4003.46,4020.50,1571100000,4020.50
2014-08-15,3993.00,3997.08,3951.25,3987.51,1799460000,3987.51
2014-08-14,3953.27,3969.24,3949.08,3969.11,1549820000,3969.11
2014-08-13,3924.47,3949.69,3921.44,3949.20,1611690000,3949.20
2014-08-12,3904.45,3916.73,3887.58,3905.23,1560220000,3905.23
2014-08-11,3899.98,3921.19,3899.37,3910.46,1537880000,3910.46
2014-08-08,3864.09,3890.63,3848.49,3888.09,1759060000,3888.09
2014-08-07,3889.69,3895.74,3845.20,3857.94,1866330000,3857.94
2014-08-06,3851.44,3896.65,3849.45,3874.27,1819310000,3874.27
2014-08-05,3891.13,3901.17,3858.65,3874.94,1916180000,3874.94
2014-08-04,3890.63,3922.25,3875.10,3908.77,1677400000,3908.77
2014-08-01,3886.10,3908.21,3855.35,3879.67,2050340000,3879.67
2014-07-31,3938.31,3948.90,3889.10,3892.50,2273380000,3892.50
2014-07-30,3982.10,3989.00,3960.29,3976.07,1872430000,3976.07
2014-07-29,3974.06,3983.42,3957.22,3959.03,2090810000,3959.03
2014-07-28,3966.31,3977.00,3936.72,3967.24,1783250000,3967.24
2014-07-25,3959.35,3970.44,3945.05,3965.17,1711430000,3965.17
2014-07-24,3994.18,3997.50,3975.66,3983.19,1935090000,3983.19
2014-07-23,3974.66,3990.64,3967.96,3986.19,1909810000,3986.19
2014-07-22,3950.83,3966.10,3949.09,3961.62,1724440000,3961.62
2014-07-21,3933.11,3941.93,3917.74,3934.14,1557820000,3934.14
2014-07-18,3899.38,3942.15,3894.56,3939.89,1823580000,3939.89
2014-07-17,3921.87,3933.88,3866.22,3878.01,2055240000,3878.01
2014-07-16,3943.60,3947.49,3927.01,3932.33,2059340000,3932.33
2014-07-15,3934.79,3940.55,3887.50,3914.46,1772030000,3914.46
2014-07-14,3923.60,3937.73,3916.53,3929.46,1579660000,3929.46
2014-07-11,3888.76,3905.40,3879.40,3904.58,1511250000,3904.58
2014-07-10,3837.29,3895.72,3837.16,3880.04,1682920000,3880.04
2014-07-09,3873.17,3896.38,3863.20,3892.91,1736960000,3892.91
2014-07-08,3903.37,3906.22,3848.18,3864.07,2221820000,3864.07
2014-07-07,3917.89,3923.92,3904.67,3910.71,1691390000,3910.71
2014-07-03,3911.11,3923.15,3901.33,3923.01,1001730000,3923.01
2014-07-02,3895.18,3904.35,3890.77,3899.27,1599480000,3899.27
2014-07-01,3864.14,3902.93,3863.81,3894.33,1942550000,3894.33
2014-06-30,3844.45,3860.65,3841.70,3849.48,1848110000,3849.48
2014-06-27,3825.02,3844.89,3823.21,3844.44,3964930000,3844.44
2014-06-26,3826.70,3827.70,3798.63,3826.91,1554070000,3826.91
2014-06-25,3794.84,3831.85,3792.31,3827.33,1722820000,3827.33
2014-06-24,3807.49,3837.17,3791.12,3799.53,2014700000,3799.53
2014-06-23,3802.25,3806.19,3794.85,3805.31,1712930000,3805.31
2014-06-20,3803.10,3807.92,3794.51,3802.64,2721380000,3802.64
2014-06-19,3808.76,3811.24,3783.30,3800.80,1845460000,3800.80
2014-06-18,3786.19,3807.49,3764.53,3804.61,1860660000,3804.61
2014-06-17,3775.73,3790.92,3769.94,3781.32,1814360000,3781.32
2014-06-16,3768.37,3789.93,3761.42,3779.93,1675120000,3779.93
2014-06-13,3782.84,3784.84,3759.87,3775.56,1754560000,3775.56
2014-06-12,3790.59,3794.99,3751.69,3763.80,1908190000,3763.80
2014-06-11,3789.41,3803.95,3783.61,3797.85,1778460000,3797.85
2014-06-10,3790.48,3802.46,3786.56,3800.86,1787120000,3800.86
2014-06-09,3795.85,3804.04,3783.90,3795.74,1783060000,3795.74
2014-06-06,3792.42,3795.14,3782.12,3794.57,1616650000,3794.57
2014-06-05,3748.36,3782.00,3735.19,3776.95,1926750000,3776.95
2014-06-04,3720.00,3750.01,3715.24,3743.59,1610090000,3743.59
2014-06-03,3719.17,3735.97,3715.46,3730.07,1718640000,3730.07
2014-06-02,3740.71,3740.71,3707.89,3732.96,1631310000,3732.96
2014-05-30,3738.71,3741.57,3716.09,3736.82,1903660000,3736.82
2014-05-29,3723.27,3735.72,3717.66,3735.72,1714000000,3735.72
2014-05-28,3720.89,3726.72,3708.65,3712.26,1785140000,3712.26
2014-05-27,3693.18,3723.07,3691.09,3723.07,1812330000,3723.07
2014-05-23,3656.27,3678.17,3646.23,3677.33,1536610000,3677.33
2014-05-22,3639.49,3660.59,3633.85,3650.86,1835810000,3650.86
2014-05-21,3605.79,3636.47,3605.51,3635.61,1703500000,3635.61
2014-05-20,3612.86,3624.60,3585.88,3600.31,1797910000,3600.31
2014-05-19,3577.85,3618.96,3572.28,3615.62,1601400000,3615.62
2014-05-16,3568.20,3590.41,3545.63,3587.20,1741070000,3587.20
2014-05-15,3594.59,3598.34,3542.63,3565.17,2083030000,3565.17
2014-05-14,3603.58,3614.63,3585.68,3593.25,1764430000,3593.25
2014-05-13,3614.91,3625.77,3605.78,3611.13,1923480000,3611.13
2014-05-12,3574.24,3613.37,3572.69,3612.73,1880020000,3612.73
2014-05-09,3537.68,3556.35,3516.24,3555.70,1976160000,3555.70
2014-05-08,3533.39,3583.64,3524.85,3540.42,2411940000,3540.42
2014-05-07,3561.47,3567.55,3506.35,3546.47,2486030000,3546.47
2014-05-06,3598.27,3599.65,3556.10,3556.51,1850610000,3556.51
2014-05-05,3566.26,3605.26,3556.40,3605.09,1561170000,3605.09
2014-05-02,3608.84,3611.56,3578.53,3587.64,1844790000,3587.64
2014-05-01,3589.66,3613.03,3580.02,3594.36,2077040000,3594.36
2014-04-30,3556.00,3585.50,3548.11,3582.02,2151400000,3582.02
2014-04-29,3557.77,3579.03,3538.24,3573.99,1911240000,3573.99
2014-04-28,3546.96,3570.11,3489.60,3545.03,2348320000,3545.03
2014-04-25,3569.92,3573.95,3525.60,3533.10,2087140000,3533.10
2014-04-24,3609.83,3613.20,3552.93,3591.03,2130870000,3591.03
2014-04-23,3587.65,3588.05,3555.19,3557.04,1794760000,3557.04
